paper_id,title,method,reviewer_1,reviewer_2,score_1,score_2
P043,"Who Counts and Who Decides? Firms, Problems, and Stakeholder",Mixed,Xiaoli Tang,Wesley Koo,70,70
P044,Other People’s Children: How Diversity Without Inclusion Imp,Mixed,Metin Sengul,Danielle Bovenberg,85,53
P045,Learning About Roads Not Taken,Mixed,Sina Sokhan,Mingtao Xu,92,90
P046,"Social Exposure, Innovator-Consumer Homophily, and Inequalit",Mixed,Janet Bercovitz,Wesley Koo,92,70
P047,How Unique Is Enough? Startups’ Market Positioning Relative ,Quantitative,Janet Bercovitz,Janet Lee Elsie Bercovitz,90,89
P048,Lobbying the Court,Mixed,Kenneth Huang,Mingtao Xu,92,85
P049,The Limits of Carbon Reporting,Quantitative,Xiaoli Tang,Metin Sengul,92,92
P050,Using Machine Learning to Estimate the Effect of General Par,Mixed,Mingtao Xu,Janet Lee Elsie Bercovitz,90,53
P051,DOES IMITATION HELP OR HARM PERFORMANCE? BOUNDARY CONDITIONS,Mixed,MJ Yang,Danielle Bovenberg,89,70
P052,Competitiveness Framing and VC Investment,Quantitative,Francisco Morales,Ashton Hawk,70,70
P053,Shaping interfirm relationships in intermediary markets: Evi,Mixed,Janet Bercovitz,Janet Lee Elsie Bercovitz,85,70
P054,When Timing Matters for Bureaucratic Responsiveness: Evidenc,Quantitative,Mukund Chari,Xiaoli Tang,53,53
P055,If you had only one shot: Scale and herding in innovation ex,Mixed,Sina Sokhan,Metin Sengul,92,92
P056,Does CEO Political Ideology Shape Advertising Spend Allocati,Mixed,Danielle Bovenberg,,53,0
P057,When Hostility Fuels Cooperation: National Animosity and Mul,Mixed,Catherine Magelssen,Ashton Hawk,85,70
P058,Beyond Pecuniary Incentives: How Openness-Preserving IPR Sha,Mixed,Sina Sokhan,Mukund Chari,92,92
