Rank,ID,Title,R1,R2,Score,Status
154,"P163","Open Innovation and Appropriability Regimes - Sample 163","Maybe Yes(3)","No(1)",4,Complete
155,"P166","Strategic Human Capital and Competitive Advantage - Sample 166","Maybe No(2)","Maybe No(2)",4,Complete
156,"P174","CEO Narcissism and Strategic Risk-Taking - Sample 174","No(1)","Maybe Yes(3)",4,Complete
157,"P176","Institutional Voids and Multinational Strategy - Sample 176","No(1)","Maybe Yes(3)",4,Complete
158,"P185","Competitive Dynamics in Sharing Economy Markets - Sample 185","Maybe No(2)","Maybe No(2)",4,Complete
159,"P188","Institutional Voids and Multinational Strategy - Sample 188","No(1)","Maybe Yes(3)",4,Complete
160,"P193","Dynamic Capabilities in Digital Platform Ecosystems - Sample 193","Maybe Yes(3)","No(1)",4,Complete
161,"P197","Competitive Dynamics in Sharing Economy Markets - Sample 197","Maybe No(2)","Maybe No(2)",4,Complete
162,"P011","Digital Transformation and Organizational Ambidexterity - Sample 11","Maybe No(2)","No(1)",3,Complete
163,"P017","Competitive Dynamics in Sharing Economy Markets - Sample 17","No(1)","Maybe No(2)",3,Complete
164,"P023","Digital Transformation and Organizational Ambidexterity - Sample 23","Maybe No(2)","No(1)",3,Complete
165,"P030","CEO Narcissism and Strategic Risk-Taking - Sample 30","Maybe No(2)","No(1)",3,Complete
166,"P031","Open Innovation and Appropriability Regimes - Sample 31","Maybe No(2)","No(1)",3,Complete
167,"P040","Knowledge Transfer in Cross-Border Acquisitions - Sample 40","No(1)","Maybe No(2)",3,Complete
168,"P045","Platform Governance and Ecosystem Health - Sample 45","Maybe No(2)","No(1)",3,Complete
169,"P051","Corporate Political Activity in Emerging Markets - Sample 51","No(1)","Maybe No(2)",3,Complete
170,"P061","Dynamic Capabilities in Digital Platform Ecosystems - Sample 61","Maybe No(2)","No(1)",3,Complete
171,"P073","Dynamic Capabilities in Digital Platform Ecosystems - Sample 73","No(1)","Maybe No(2)",3,Complete
172,"P081","Platform Governance and Ecosystem Health - Sample 81","Maybe No(2)","No(1)",3,Complete
173,"P083","Digital Transformation and Organizational Ambidexterity - Sample 83","Maybe No(2)","No(1)",3,Complete
174,"P100","Knowledge Transfer in Cross-Border Acquisitions - Sample 100","Maybe No(2)","No(1)",3,Complete
175,"P123","Corporate Political Activity in Emerging Markets - Sample 123","No(1)","Maybe No(2)",3,Complete
176,"P125","Competitive Dynamics in Sharing Economy Markets - Sample 125","No(1)","Maybe No(2)",3,Complete
177,"P130","Strategic Human Capital and Competitive Advantage - Sample 130","No(1)","Maybe No(2)",3,Complete
178,"P132","Stakeholder Orientation and Long-Term Value Creation - Sample 132","No(1)","Maybe No(2)",3,Complete
179,"P133","Dynamic Capabilities in Digital Platform Ecosystems - Sample 133","Maybe No(2)","No(1)",3,Complete
180,"P135","Corporate Political Activity in Emerging Markets - Sample 135","Maybe No(2)","No(1)",3,Complete
181,"P144","Stakeholder Orientation and Long-Term Value Creation - Sample 144","No(1)","Maybe No(2)",3,Complete
182,"P148","Knowledge Transfer in Cross-Border Acquisitions - Sample 148","No(1)","Maybe No(2)",3,Complete
183,"P157","Dynamic Capabilities in Digital Platform Ecosystems - Sample 157","Maybe No(2)","No(1)",3,Complete
184,"P168","Stakeholder Orientation and Long-Term Value Creation - Sample 168","Maybe No(2)","No(1)",3,Complete
185,"P181","Dynamic Capabilities in Digital Platform Ecosystems - Sample 181","Maybe No(2)","No(1)",3,Complete
186,"P198","CEO Narcissism and Strategic Risk-Taking - Sample 198","No(1)","Maybe No(2)",3,Complete
187,"P016","Knowledge Transfer in Cross-Border Acquisitions - Sample 16","No(1)","No(1)",2,Complete
188,"P024","Stakeholder Orientation and Long-Term Value Creation - Sample 24","No(1)","No(1)",2,Complete
189,"P042","CEO Narcissism and Strategic Risk-Taking - Sample 42","No(1)","No(1)",2,Complete
190,"P054","CEO Narcissism and Strategic Risk-Taking - Sample 54","No(1)","No(1)",2,Complete
191,"P060","Stakeholder Orientation and Long-Term Value Creation - Sample 60","No(1)","No(1)",2,Complete
192,"P071","Digital Transformation and Organizational Ambidexterity - Sample 71","No(1)","No(1)",2,Complete
193,"P086","Alliance Portfolio Diversity and Innovation Performance - Sample 86","No(1)","No(1)",2,Complete
194,"P091","Open Innovation and Appropriability Regimes - Sample 91","No(1)","No(1)",2,Complete
195,"P103","Open Innovation and Appropriability Regimes - Sample 103","No(1)","No(1)",2,Complete
196,"P121","Dynamic Capabilities in Digital Platform Ecosystems - Sample 121","No(1)","No(1)",2,Complete
197,"P138","CEO Narcissism and Strategic Risk-Taking - Sample 138","No(1)","No(1)",2,Complete
198,"P159","Corporate Political Activity in Emerging Markets - Sample 159","No(1)","No(1)",2,Complete
199,"P164","Institutional Voids and Multinational Strategy - Sample 164","No(1)","No(1)",2,Complete
200,"P192","Stakeholder Orientation and Long-Term Value Creation - Sample 192","No(1)","No(1)",2,Complete
