Rank,ID,Title,R1_Name,R1_Decision,R1_Score,R2_Name,R2_Decision,R2_Score,Total_Score,Status,Accepted,Conflict,PDF_Link
62,"P157","Dynamic Capabilities in Digital Platform Ecosystems - Sample 157","Ashton Lewis Hawk","Maybe No",2,"Aldona Kapacinskaite","Yes",4,6,Complete,ACCEPTED,,""
63,"P161","Competitive Dynamics in Sharing Economy Markets - Sample 161","Aldona Kapacinskaite","Yes",4,"Metin Sengul","Maybe No",2,6,Complete,ACCEPTED,,""
64,"P165","Platform Governance and Ecosystem Health - Sample 165","Sina Sokhan","Maybe Yes",3,"Catherine Magelssen","Maybe Yes",3,6,Complete,ACCEPTED,,""
65,"P168","Stakeholder Orientation and Long-Term Value Creation - Sample 168","Danielle Bovenberg","Maybe No",2,"Mukund Chari","Yes",4,6,Complete,ACCEPTED,,""
66,"P172","Knowledge Transfer in Cross-Border Acquisitions - Sample 172","Mukund Chari","Yes",4,"Ashton Lewis Hawk","Maybe No",2,6,Complete,ACCEPTED,,""
67,"P180","Stakeholder Orientation and Long-Term Value Creation - Sample 180","Aldona Kapacinskaite","Yes",4,"Catherine Magelssen","Maybe No",2,6,Complete,ACCEPTED,,""
68,"P185","Competitive Dynamics in Sharing Economy Markets - Sample 185","Catherine Magelssen","Maybe Yes",3,"Anparasan Mahalingam","Maybe Yes",3,6,Complete,ACCEPTED,,""
69,"P004","Survival of the Fittest? Entrepreneurial Human Capital and the Persistence of Underperforming Firms","Janet Lee Elsie Bercovitz","Maybe No",2,"Kenneth Huang","Maybe Yes",3,5,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/bgc4g5rhi7tnqsvu17vrm/20-Gimeno-et-al.-1997.pdf?rlkey=dges3uvdjojwkdoqu6k8xjpgx&dl=0"
70,"P005","Venturing for Others with Heart and Head: How Compassion Encourages Social Entrepreneurship","Aldona Kapacinskaite","No",1,"Andy Wu","Yes",4,5,Complete,ACCEPTED,YES,"https://www.dropbox.com/scl/fi/nlxfuqnhoul4ariqc0t1j/21-Miller-et-al.-2012.pdf?rlkey=7v5np70c91qocj1zonwhuwq4i&dl=0"
71,"P012","Who Leaves, Where To, and Why Worry? Employee Mobility, Entrepreneurship, and Effects on Source Firm Performance","MJ Yang","Maybe No",2,"FJ Morales","Maybe Yes",3,5,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/s6q6m7g7ezwoj45yrb2zk/Campbell-B.-A.-Ganco-M.-Franco-A.-M.-Agarwal-R.-2012-.-Who-leaves-where-to-and-why-worry-Employee-mobility-entrepreneurship-and-effects-on-source-firm-performance.pdf?rlkey=d3v14kx431ho7o0zf5iw2i8b4&dl=0"
72,"P016","The Theory-Based View: Economic Actors as Theorists","Metin Sengul","No",1,"Xiaoli Tang","Yes",4,5,Complete,ACCEPTED,YES,"https://www.dropbox.com/scl/fi/1hnzjtsaztrojrxu8pu1n/Felin-Zenger-SS-2017-The-theory-based-view-Economic-actors-as-theorists.pdf?rlkey=cxohb5xnidp60p29d5yj1jo5i&dl=0"
73,"P017","Theory-Based Decisions: Foundations and Introduction","MJ Yang","Maybe No",2,"Xiaoli Tang","Maybe Yes",3,5,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/dy7yavrem5bldcpy4mhoj/Felin-Gambardella-Zenger-SS-2024-Theory-based-decisions-Foundations-and-introduction.pdf?rlkey=1k8ge9b4p82zb09j5bwpkbabm&dl=0"
74,"P019","The Financing of Innovation","Mukund Chari","No",1,"Xiaoli Tang","Yes",4,5,Complete,ACCEPTED,YES,"https://www.dropbox.com/scl/fi/i517xjz5ld0nafhfnn6yb/Hall-B.-H.-2005-.-The-financing-of-innovation.-The-Handbook-of-Technology-and-Innovation-Management-409-430..pdf?rlkey=iaevtcgv3enr7hen1b6o2wdlf&dl=0"
75,"P021","Core Capabilities and Core Rigidities: a Paradox in Managing New Product Development","Ashton Lewis Hawk","Maybe Yes",3,"Sina Sokhan","Maybe No",2,5,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/87hfel4b4luhfval0637l/Leonard-Barton-1992-Core-capabilities-and-core-rigidities-A-paradox-in-managing-new-product-development.pdf?rlkey=udfcrwh9ylzegoxlp7pib4fjk&dl=0"
76,"P023","Firm Boundaries Matter: Evidence From Conglomerates and R&D Activity","Ashton Lewis Hawk","Maybe No",2,"Sina Sokhan","Maybe Yes",3,5,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/180naw38omi5xv68tytab/Seru-A.-2014-.-Firm-boundaries-matter-Evidence-from-conglomerates-and-R-D-activity..pdf?rlkey=fer2v21dcf0sb9smtq1h9e5jf&dl=0"
77,"P024","Prior Knowledge and the Discovery of Entrepreneurial Opportunities","Ashton Lewis Hawk","Maybe Yes",3,"FJ Morales","Maybe No",2,5,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/ngsr9kx6zukxhex76cc8j/Shane-S.-2000-.-Prior-knowledge-and-the-discovery-of-entrepreneurial-opportunities.pdf?rlkey=hz7fw1adlq7778iqeg6wbucdt&dl=0"
78,"P026","Entrepreneurs as Scientists: a Pragmatist Alternative to the Creation-Discovery Debate","Anparasan Mahalingam","Yes",4,"Metin Sengul","No",1,5,Complete,ACCEPTED,YES,"https://www.dropbox.com/scl/fi/jg6mnzidsdolw260vlsrl/Zellweger-Zenger-AMR-2022-Entrepreneurs-as-scientists-A-pragmatist-alternative-to-the-creation-discovery-debate.pdf?rlkey=lx3pnp96lzojomq36odg4bpft&dl=0"
79,"P030","CEO Narcissism and Strategic Risk-Taking - Sample 30","MJ Yang","Maybe No",2,"Kenneth Huang","Maybe Yes",3,5,Complete,ACCEPTED,,""
80,"P039","Corporate Political Activity in Emerging Markets - Sample 39","MJ Yang","Yes",4,"Xiaoli Tang","No",1,5,Complete,ACCEPTED,YES,""
81,"P042","CEO Narcissism and Strategic Risk-Taking - Sample 42","FJ Morales","Maybe No",2,"Mingtao Xu","Maybe Yes",3,5,Complete,,,""
82,"P045","Platform Governance and Ecosystem Health - Sample 45","Janet Lee Elsie Bercovitz","Yes",4,"Danielle Bovenberg","No",1,5,Complete,,YES,""
83,"P049","Dynamic Capabilities in Digital Platform Ecosystems - Sample 49","Aldona Kapacinskaite","Maybe Yes",3,"Xiaoli Tang","Maybe No",2,5,Complete,,,""
84,"P055","Open Innovation and Appropriability Regimes - Sample 55","Anparasan Mahalingam","Yes",4,"Andy Wu","No",1,5,Complete,,YES,""
85,"P063","Corporate Political Activity in Emerging Markets - Sample 63","Danielle Bovenberg","Yes",4,"Tony Tong","No",1,5,Complete,,YES,""
86,"P064","Knowledge Transfer in Cross-Border Acquisitions - Sample 64","Mukund Chari","Maybe No",2,"Metin Sengul","Maybe Yes",3,5,Complete,,,""
87,"P066","CEO Narcissism and Strategic Risk-Taking - Sample 66","Kenneth Huang","Maybe No",2,"Aldona Kapacinskaite","Maybe Yes",3,5,Complete,,,""
88,"P075","Corporate Political Activity in Emerging Markets - Sample 75","MJ Yang","No",1,"Catherine Magelssen","Yes",4,5,Complete,,YES,""
89,"P077","Competitive Dynamics in Sharing Economy Markets - Sample 77","Janet Lee Elsie Bercovitz","Maybe Yes",3,"MJ Yang","Maybe No",2,5,Complete,,,""
90,"P083","Digital Transformation and Organizational Ambidexterity - Sample 83","Mukund Chari","No",1,"Ashton Lewis Hawk","Yes",4,5,Complete,,YES,""
91,"P094","Strategic Human Capital and Competitive Advantage - Sample 94","Ashton Lewis Hawk","Yes",4,"Aldona Kapacinskaite","No",1,5,Complete,,YES,""
92,"P095","Digital Transformation and Organizational Ambidexterity - Sample 95","Andy Wu","Yes",4,"Mingtao Xu","No",1,5,Complete,,YES,""
93,"P099","Corporate Political Activity in Emerging Markets - Sample 99","MJ Yang","Maybe Yes",3,"Aldona Kapacinskaite","Maybe No",2,5,Complete,,,""
94,"P100","Knowledge Transfer in Cross-Border Acquisitions - Sample 100","Sina Sokhan","Yes",4,"Xiaoli Tang","No",1,5,Complete,,YES,""
95,"P106","Strategic Human Capital and Competitive Advantage - Sample 106","Kenneth Huang","Maybe No",2,"Mingtao Xu","Maybe Yes",3,5,Complete,,,""
96,"P108","Stakeholder Orientation and Long-Term Value Creation - Sample 108","Sina Sokhan","Maybe No",2,"Catherine Magelssen","Maybe Yes",3,5,Complete,,,""
97,"P113","Competitive Dynamics in Sharing Economy Markets - Sample 113","Kenneth Huang","Yes",4,"Aldona Kapacinskaite","No",1,5,Complete,,YES,""
98,"P119","Digital Transformation and Organizational Ambidexterity - Sample 119","Ashton Lewis Hawk","Yes",4,"Metin Sengul","No",1,5,Complete,,YES,""
99,"P121","Dynamic Capabilities in Digital Platform Ecosystems - Sample 121","Mukund Chari","No",1,"Wesley W. Koo","Yes",4,5,Complete,,YES,""
100,"P131","Digital Transformation and Organizational Ambidexterity - Sample 131","Janet Lee Elsie Bercovitz","Yes",4,"Aldona Kapacinskaite","No",1,5,Complete,,YES,""
101,"P133","Dynamic Capabilities in Digital Platform Ecosystems - Sample 133","Danielle Bovenberg","Yes",4,"Mukund Chari","No",1,5,Complete,,YES,""
102,"P137","Competitive Dynamics in Sharing Economy Markets - Sample 137","Metin Sengul","Maybe Yes",3,"Andy Wu","Maybe No",2,5,Complete,,,""
103,"P141","Platform Governance and Ecosystem Health - Sample 141","Mukund Chari","Maybe Yes",3,"Sina Sokhan","Maybe No",2,5,Complete,,,""
104,"P142","Strategic Human Capital and Competitive Advantage - Sample 142","Anparasan Mahalingam","No",1,"Mingtao Xu","Yes",4,5,Complete,,YES,""
105,"P153","Platform Governance and Ecosystem Health - Sample 153","Janet Lee Elsie Bercovitz","Yes",4,"Aldona Kapacinskaite","No",1,5,Complete,,YES,""
106,"P170","Alliance Portfolio Diversity and Innovation Performance - Sample 170","MJ Yang","Maybe No",2,"Metin Sengul","Maybe Yes",3,5,Complete,,,""
107,"P184","Knowledge Transfer in Cross-Border Acquisitions - Sample 184","Danielle Bovenberg","Yes",4,"Tony Tong","No",1,5,Complete,,YES,""
108,"P187","Open Innovation and Appropriability Regimes - Sample 187","Janet Lee Elsie Bercovitz","Yes",4,"FJ Morales","No",1,5,Complete,,YES,""
109,"P188","Institutional Voids and Multinational Strategy - Sample 188","Catherine Magelssen","Maybe Yes",3,"Andy Wu","Maybe No",2,5,Complete,,,""
110,"P189","Platform Governance and Ecosystem Health - Sample 189","MJ Yang","Maybe Yes",3,"Anparasan Mahalingam","Maybe No",2,5,Complete,,,""
111,"P190","Strategic Human Capital and Competitive Advantage - Sample 190","Ashton Lewis Hawk","Maybe No",2,"Metin Sengul","Maybe Yes",3,5,Complete,,,""
112,"P196","Knowledge Transfer in Cross-Border Acquisitions - Sample 196","Sina Sokhan","No",1,"Metin Sengul","Yes",4,5,Complete,,YES,""
113,"P200","Institutional Voids and Multinational Strategy - Sample 200","FJ Morales","Yes",4,"Mingtao Xu","No",1,5,Complete,,YES,""
114,"P003","Competing Models of Entrepreneurial Intentions","Ashton Lewis Hawk","No",1,"FJ Morales","Maybe Yes",3,4,Complete,,,"https://www.dropbox.com/scl/fi/biyy0d7muzoyzcso3r8qq/19-Krueger-et-al.-2000.pdf?rlkey=4kcuxe63hy2dmsxpr5lqb0nbp&dl=0"
115,"P006","Entrepreneurial Exits and Innovation","Ashton Lewis Hawk","No",1,"Metin Sengul","Maybe Yes",3,4,Complete,,,"https://www.dropbox.com/scl/fi/o2kks05gvexd0gajm4e07/Aggarwal-V.-A.-Hsu-D.-H.-2014-.-Entrepreneurial-exit-and-innovation.pdf?rlkey=r4nr92j1q77cevoh2mzasczzr&dl=0"
116,"P007","Exploitation, Exploration, and Process Management: the Productivity Dilemma Revisited","MJ Yang","Maybe No",2,"FJ Morales","Maybe No",2,4,Complete,,,"https://www.dropbox.com/scl/fi/3wu9jgx1qy1wma8q2howi/Benner-M.-J.-Tushman-M.-L.-2003-.-Exploitation-exploration-and-process-management-The-productivity-dilemma-revisited.-Academy-of-Management-Review.pdf?rlkey=kl5jcycws730vhisoc4c6nnth&dl=0"
117,"P009","Why the Lean Start-Up Changes Everything","Catherine Magelssen","No",1,"Mingtao Xu","Maybe Yes",3,4,Complete,,,"https://www.dropbox.com/scl/fi/bfnisnnpdotftfqkvtdv9/Blank-2013-Why-the-lean-startup-changes-everything.pdf?rlkey=zorro3rmbe8gw6cicat6kr7ul&dl=0"
118,"P014","Customer Power, Strategic Investment, and the Failure of Leading Firms","Janet Lee Elsie Bercovitz","Maybe No",2,"Danielle Bovenberg","Maybe No",2,4,Complete,,,"https://www.dropbox.com/scl/fi/12rbwa3lmhaw0ic8gjrfw/Chistensen-Bower-1996-Customer-power-strategic-investment-and-the-failure-of-leading-firms.pdf?rlkey=n83z56es2mgqx8vthw9bv4szb&dl=0"
119,"P025","Screening Spinouts? How Noncompete Enforceability Affects the Creation, Growth, and Survival of New Firms","Ashton Lewis Hawk","No",1,"Aldona Kapacinskaite","Maybe Yes",3,4,Complete,,,"https://www.dropbox.com/scl/fi/bclmwgb20i37fs6y9b7oi/Starr-E.-Balasubramanian-N.-Sakakibara-M.-2018-.-Screening-spinouts-How-noncompete-enforceability-affects-the-creation-growth-and-survival-of-new-firms..pdf?rlkey=ihcibcy0rv8ivnjt5hp4ahkln&dl=0"
120,"P027","Entrepreneurs as Scientists: a Pragmatist Approach to Producing Value Out of Uncertainty","Ashton Lewis Hawk","Maybe Yes",3,"Catherine Magelssen","No",1,4,Complete,,,"https://www.dropbox.com/scl/fi/fafvd5uoxjvvrm5i4oixu/Zellweger-Zenger-AMR-2023-Entrepreneurs-as-scientists-A-pragmatist-approach-to-producing-value-out-of-uncertainty.pdf?rlkey=t2s63vnlmqxlaen34nng429wk&dl=0"
121,"P032","Institutional Voids and Multinational Strategy - Sample 32","Danielle Bovenberg","No",1,"Kenneth Huang","Maybe Yes",3,4,Complete,,,""
122,"P038","Alliance Portfolio Diversity and Innovation Performance - Sample 38","Mukund Chari","No",1,"Mingtao Xu","Maybe Yes",3,4,Complete,,,""
123,"P041","Competitive Dynamics in Sharing Economy Markets - Sample 41","Janet Lee Elsie Bercovitz","No",1,"Danielle Bovenberg","Maybe Yes",3,4,Complete,,,""
124,"P043","Open Innovation and Appropriability Regimes - Sample 43","Wesley W. Koo","No",1,"FJ Morales","Maybe Yes",3,4,Complete,,,""
125,"P050","Alliance Portfolio Diversity and Innovation Performance - Sample 50","Janet Lee Elsie Bercovitz","No",1,"MJ Yang","Maybe Yes",3,4,Complete,,,""
126,"P052","Knowledge Transfer in Cross-Border Acquisitions - Sample 52","Janet Lee Elsie Bercovitz","Maybe No",2,"Kenneth Huang","Maybe No",2,4,Complete,,,""
127,"P054","CEO Narcissism and Strategic Risk-Taking - Sample 54","Ashton Lewis Hawk","Maybe Yes",3,"Xiaoli Tang","No",1,4,Complete,,,""
128,"P056","Institutional Voids and Multinational Strategy - Sample 56","Catherine Magelssen","Maybe Yes",3,"Xiaoli Tang","No",1,4,Complete,,,""
129,"P059","Digital Transformation and Organizational Ambidexterity - Sample 59","Janet Lee Elsie Bercovitz","Maybe No",2,"Tony Tong","Maybe No",2,4,Complete,,,""
130,"P062","Alliance Portfolio Diversity and Innovation Performance - Sample 62","MJ Yang","Maybe No",2,"Anparasan Mahalingam","Maybe No",2,4,Complete,,,""
