id,title,link,keywords,abstract,authors,affiliations,original_filename,original_id
P011,Knowledge Protection and Modularity of Innovation Activities in Firms: Evidence from U.S. Trade Secrecy Law,https://www.dropbox.com/scl/fi/keye2kbwfpsu75qyw55k2/R_1qLx3zayZrLVSUx_Knowledge-Protection-and-Modularity-of-Innovation-Activities-in-Firms.pdf?rlkey=y78gzvnfz9q21a9qje3kqq2hb&dl=0,innovation; modularity; inventor collaboration; knowledge protection; trade secrecy law; human capital; difference-in-differences,"Strategy scholars have theoretically explored the relationship between knowledge protection and modularity of innovation activities in firms, but this relationship has yet to be empirically tested in the literature. Leveraging state-level staggered changes in U.S. trade secrecy law and using a network modularity measure, this paper examines how trade secret protection affects the modularity of inventor collaborations in firms. Analyzing intrafirm collaboration patterns in U.S. patent data from 1,022 high-tech firms between 1976 and 2017, we find that increased trade secret protection is negatively associated with the modularity of inventor collaborations within firms. This effect is more pronounced for firms with superior technologies and those geographically collocated with competitors—factors that enhance firms’ knowledge-spillover concerns––and less pronounced for firms in industries where alternative appropriability mechanisms are highly effective. Moreover, our findings suggest that the increased betweenness centrality of new hires (skilled and junior) serves as an important underlying mechanism for the treatment effect. These results contribute to the literature by illuminating how firms strategize their internal innovation activities for knowledge protection and by underscoring its underlying mechanism.","Eunkwang Seo, Eunkwang Seo, Christopher P. Dinkel",Oklahoma State University,R_1qLx3zayZrLVSUx_Knowledge Protection and Modularity of Innovation Activities in Firms.pdf,R_1qLx3zayZrLVSUx
P012,Time Tells: Unraveling the Temporal and Risk Dynamics of Venture Capitalists,https://www.dropbox.com/scl/fi/dv55z41peflkmapgu1web/R_26lM7YicIAXpQO0_Time-tells.pdf?rlkey=udb3dzk6zw8v3qjhrh62tc2ab&dl=0,venture capital; individual preferences; decision-making; risk aversion; patience; investment; exit,"Access to financing is critical for the survival and growth of new ventures, yet many startups face significant challenges in securing funds. While prior research has examined organizational and institutional factors influencing venture capital investments, we focus on the role of investors’ individual preferences. We explore how these preferences shape investment, exit, and other strategic decisions by using incentive-compatible measures of time and risk preferences from a large-scale survey of European venture capitalists involved in over 11,000 deals. Results indicate that venture capitalists with a higher degree of patience spend more time on a given deal, invest in much younger firms, and syndicate less with other investors. Instead, risk-averse venture capitalists tend to invest in more mature firms. Importantly, time and risk preferences provide different pathways to success: patient investors are more likely to exit through IPOs, whereas risk-averse investors favor trade sales.","Mario Daniele Amore, Orsola Garofalo, Valerio Pelucco, Cedric Gutierrez",Bocconi University; Copenhagen Business School; LUISS Business School,R_26lM7YicIAXpQO0_Time tells.pdf,R_26lM7YicIAXpQO0
P013,Social Investments and the Commodification of Community Conflict,https://www.dropbox.com/scl/fi/b9408eirg4v7osi0zxaaa/R_2E9Y8wawcR69fjY_Commodifying-Conflict.pdf?rlkey=ui3aa2s9ttef9r6gmxhtm5vtn&dl=0,Qualitative; Community Stakeholders; Nonmarket Strategy; Social Movements,"This paper resolves a puzzle in research intersecting nonmarket strategy and social movements: that social investments to local communities can avoid community conflict by alleviating grievances while they can also cause conflict by stimulating opportunistic behavior to exploit firms. Based on nine months of fieldwork in Peru’s mining industry, this paper examines how one of the world’s largest mining firms sought to manage violent community conflict through social investments. The analysis shows how social investments commodified grievances and turned the community’s use of violent conflict into a calculated transaction, in exchange for social investments. Over time, violent conflict became normalized as an “everyday” activity, rendering the use of social investments to quell conflict ineffective. The findings matter for theory and practice: social investments can fundamentally transform firm-community relations, beyond reducing grievances or stimulating opportunism, in ways that can institutionalize violent community conflict.",Alexander Rustler,University of Oxford,R_2E9Y8wawcR69fjY_Commodifying Conflict.pdf,R_2E9Y8wawcR69fjY
P014,Moral Value Trade-offs and Decision Difficulty in Social Enterprises,https://www.dropbox.com/scl/fi/f1wtaeebgh5808xfsquxo/R_2IEr0XkGGPeUJNr_Social_Enterprise_Trade_offs-Jan2026.pdf?rlkey=yhpborpy4waeg7ma0vdfc0l6m&dl=0,"social entrepreneurship, protected values, hybrid organizations, taboo trade-offs, decision making, cognition, experiment","How do people cognitively process trade-offs between competing social and economic values in social enterprise contexts? Building on protected value literature, we argue that individuals with stronger commitment to social values  engage in longer deliberation when making such trade-offs. This is especially true when decisions involve larger transgressions of social values, regardless of the final choice. We test these predictions in an experiment with varying monetary rewards in fictional social enterprises and measure the time subjects take to make an effort allocation choice between commercial and social tasks. Individuals with stronger commitment to social values take longer to decide, but we only find weak evidence of longer decision times for higher-powered incentives. These responses are concentrated among those most socially motivated and women. Social values in social enterprises need not be strictly protected, with implications for these hybrids' strategic choices.","Mircea Epure, Theodor Vladasel",Universitat Pompeu Fabra,R_2IEr0XkGGPeUJNr_Social_Enterprise_Trade_offs-Jan2026.pdf,R_2IEr0XkGGPeUJNr
P015,The Mean-Variance Innovation Tradeoff in AI-Augmented Evaluations,https://www.dropbox.com/scl/fi/7nyjnyskzm2ftxxb9ydt7/R_2LZHaUNn9QVYtQH_StrategyScience_The-Mean-Variance-Tradeoff.pdf?rlkey=1a9d4tu9cxg4javvb758l0j03&dl=0,Innovation evaluation; human-AI collaboration; generative AI and predictive AI; novelty and feasibility; field experiment.,"Evaluating and selecting among numerous alternative solutions shapes the trajectory and rate of innovation. Central to this process is a fundamental tension between novelty and feasibility that evaluators, operating under bounded rationality, cannot consider simultaneously and therefore rely on heuristics to guide their evaluations. A common heuristic is criteria-sequencing, in which evaluators prioritize alternative criteria at different evaluation stages. Yet, the idiosyncratic ways evaluators sequence these criteria often introduce inconsistencies, creating significant path dependencies in the process. In this paper, we propose that artificial intelligence (AI) offers a potential lever to structure evaluators’ criteria-sequencing heuristics. Leveraging a field experiment with 353 evaluators, we investigate how the sequencing of AI recommendations focusing on novelty and feasibility shapes the mean and variance of innovation among selected solutions. Our results reveal a mean–variance innovation tradeoff: a feasibility-then-novelty sequence leads to selections with higher mean innovation, whereas a novelty-then-feasibility sequence yields selections with greater innovation variance. Furthermore, a post hoc analysis uncovers that the format accompanying AI recommendations also matters. A dynamic format (i.e., interactive chatbot) increases the innovation variance among selected solutions but reduces their mean innovation relative to a static format (i.e., fixed explanatory content). Because these effects operate independently, our findings show that in AI-augmented evaluations, both the sequence of criteria and the format accompanying AI recommendations shape the mean–variance innovation tradeoff. These differences have important implications for the composition of innovation portfolios. Our paper contributes to innovation evaluation research and to emerging literature on human–AI collaboration in innovation-related contexts.","Cyrille Grumbach, Jacqueline Ng Lane, Georg von Krogh",ETH Zurich; Harvard Business School,R_2LZHaUNn9QVYtQH_StrategyScience_The Mean-Variance Tradeoff.pdf,R_2LZHaUNn9QVYtQH
P016,"Delegation, Attention Allocation, and Innovation in Entrepreneurial Ventures",https://www.dropbox.com/scl/fi/t8ku92s2xhu47pkrio05y/R_2LirCqtSar6sVFN_Delegation-2C-Attention-Allocation-2C-and-Innovation-in-Entrepreneurial-Ventures.pdf?rlkey=mxwgtd5b86higkvtd7a5b19nr&dl=0,Entrepreneurship; innovation; delegation; task allocation; resource constraints; German SOEP.,"Despite growing recognition that organizational design can facilitate entrepreneurs' attention allocation to high-value activities that improve firm innovation, few studies have tested this theoretical insight. Guided by organizational structure and managerial frictions literature in innovation and entrepreneurship, we examine how and why shared decision rights affect innovation outcomes. In a representative survey of German entrepreneurs, delegation has a strong, robust, positive association with incremental innovation; evidence for alternative innovation outcomes or differential effects of delegation depth is limited. This relationship varies slightly with incentives, employee, and founder ability, and is stronger in East Germany, where managerial frictions are larger. While delegation does not free up time for personal activities, it allows entrepreneurs to engage in a greater number of venture activities, especially crafting strategy, and perform them more intensely. Collectively, our findings imply delegation enhances innovation by facilitating entrepreneurs' attention allocation to critical managerial tasks, such as acquiring market and competitor insight or making growth and investment choices. By clarifying where the value of delegation resides and what activities founders prioritize, we highlight the importance of strategy in entrepreneurial ventures.","Theodor Vladasel, Alexander Kritikos, Knarik Poghosyan",Universitat Pompeu Fabra; DIW Berlin,R_2LirCqtSar6sVFN_Delegation%2C Attention Allocation%2C and Innovation in Entrepreneurial Ventures.pdf,R_2LirCqtSar6sVFN
P017,The Portability of Network Effects: How Platform Dependent Entrepreneurs Respond to Adverse Governance Shocks,https://www.dropbox.com/scl/fi/v28xy9qau13o4v48q8zvu/R_2QDIGVghvQigUUd_Portability-of-Network-Effects.pdf?rlkey=thow1ax2m07ydtjuga36b0uxf&dl=0,"Platform, Digital Platform, Entrepreneurship, Network effects","This paper examines how Platform Dependent Entrepreneurs (PDEs), whose viability depends on platform-controlled access, discoverability, enforcement, and monetization, respond to an adverse governance shock imposed unilaterally by the platform owner, and how PDE relational capital conditions this response. Adopting a mixed method study design this paper examines granular streaming data from July–December 2022 and a subsequent qualitative study of archival sources including PDE communication and video streams, industry expert reports, and popular press. I trace strategic responses of PDEs to an adverse governance shock that threatens their core activity on the focal platform. The analysis shows that network effects are partly portable. High relational capital enables PDEs to port a significant userbase from focal platform to an alternate platform, challenging the dominant platform lock in view. Moreover, an adverse governance shock can lead to the Hydra effect: whereby restrictive policy changes intended to suppress a targeted activity instead catalyse its reconfiguration and relocation at an alternate venue. These findings refine boundary conditions on platform power by showing that dependence is contingent on the portability of relational capital.",Nilesh Singhania,IE Business school,R_2QDIGVghvQigUUd_Portability of Network Effects.pdf,R_2QDIGVghvQigUUd
P018,The Portability of Network Effects: How Platform Dependent Entrepreneurs Respond to Adverse Governance Shocks,https://www.dropbox.com/scl/fi/d0rl5d1b7nip036359iq1/R_2fQ0dGnqCS11fHz_Portabilityof-Network-effects.pdf?rlkey=t7itbkehevyzsq14vea8gzsb8&dl=0,"Platform, Digital Platform, Entrepreneur, Network effects, Platform Governance","This paper examines how Platform Dependent Entrepreneurs (PDEs), whose viability depends on platform-controlled access, discoverability, enforcement, and monetization, respond to an adverse governance shock imposed unilaterally by the platform owner, and how PDE relational capital conditions this response. Adopting a mixed method study design this paper examines granular streaming data from July–December 2022 and a subsequent qualitative study of archival sources including PDE communication and video streams, industry expert reports, and popular press. I trace strategic responses of PDEs to an adverse governance shock that threatens their core activity on the focal platform. The analysis shows that network effects are partly portable. High relational capital enables PDEs to port a significant userbase from focal platform to an alternate platform, challenging the dominant platform lock in view. Moreover, an adverse governance shock can lead to the Hydra effect: whereby restrictive policy changes intended to suppress a targeted activity instead catalyse its reconfiguration and relocation at an alternate venue. These findings refine boundary conditions on platform power by showing that dependence is contingent on the portability of relational capital.",Nilesh Singhania,IE Business School,R_2fQ0dGnqCS11fHz_Portabilityof Network effects .pdf,R_2fQ0dGnqCS11fHz
P019,Board Gender Quotas and Women's Entrepreneurship: The Critical Role of Financial Development,https://www.dropbox.com/scl/fi/hhn2zhlqixkjz0b8b4el3/R_38Sxo1vZdIfXR6s_Board-Gender-Quotas-and-Women-s-Entrepreneurship-3B-The-Critical-Role-of-Financial-Development.pdf?rlkey=aqqnex2qgpkdtewn5lejxuwvq&dl=0,Board gender quotas; Women entrepreneurs; Financial development; Entrepreneurial entry,"This study examines how board gender quotas shape women’s career choices by influencing their relative propensity to pursue entrepreneurship. Using a meta-analytic approach, we propose a theoretical framework distinguishing between two mechanisms: quotas may either redirect women toward corporate careers by signaling organizational receptiveness (substitution effect) or inspire entrepreneurial ventures by providing visible leadership role models (inspiration effect). Our analysis demonstrates that these effects operate conditionally rather than universally. In countries with limited financial development, capital access constraints amplify the substitution effect, as quotas make corporate positions relatively more attractive than entrepreneurship. Conversely, in financially developed economies where women face fewer financing barriers, the inspiration effect predominates, with board representation encouraging venture creation. Beyond quota effects, we find that financial development independently increases women's relative entrepreneurial propensity. These findings underscore that institutional interventions like gender quotas produce heterogeneous outcomes depending on complementary institutional infrastructures, particularly financial systems that determine entrepreneurial feasibility.","Hatameh Ahmadi Harandi, David Gaddis Ross, Dong Hyun Shin",UF; Universoty of Florida; City University of Hong Kong,R_38Sxo1vZdIfXR6s_Board Gender Quotas and Women's Entrepreneurship%3B The Critical Role of Financial Development.pdf,R_38Sxo1vZdIfXR6s
P020,Performance as a Random Variable,https://www.dropbox.com/scl/fi/pqdogues20pwe65i3vnmr/R_3Bi0HsPL4dNwZip_Performance_as_a_Random_Variable-SS.pdf?rlkey=5ax6i9lztx3l0c9l6kpbptfai&dl=0,"Strategic Human Capital Management, Hiring, Formal Theory, Performance, Entrepreneurship","Individual performance is stochastic, but strategic human capital research evaluates workers and policies only in terms of mean or expected performance. This omission embeds strong but rarely stated assumptions about organizations’ ability to absorb bad draws and capitalize on good ones. Using a portfolio model in which hiring managers choose between reliable (lower-mean, low-variance) and volatile (higher-mean, high-variance) workers, I examine how organizational wealth, scale, team composition, and production interdependence shape exposure to performance risk. The analysis shows that fragile, resource-constrained, or tightly coupled organizations pay a volatility tax and should favor reliability, whereas large, well-capitalized, or modular organizations can take advantage of more volatile talent. I develop this insight as Human Capital Portfolio Management and discuss implications for research in strategic human capital, entrepreneurship, and organizational theory.",Isaac Tucker,UCLA Anderson,R_3Bi0HsPL4dNwZip_Performance_as_a_Random_Variable - SS.pdf,R_3Bi0HsPL4dNwZip
